SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Debt Services,29192859.64,16.73
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,General Administration,368685348.6,211.32
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instruction,10067313286,5770.18
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instructional Support,649582617.3,372.31
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1314509200,753.42
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Media,243764757,139.72
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Pupil Services,554014367.4,317.54
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,7929665.94,4.54
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School Administration,1060402618,607.78
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School food Services,9146948.79,5.24
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Transportation,855721632.5,490.47
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Federal,42746039.67,24.5
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Local,6635783192,3803.36
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Other,42869871.5,24.57
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Other,147037550.4,84.28
2016-17,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State QBE,8536543978,4892.8
2016-17,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
