District ID,County Name,District Average Composite Score,State Composite Bracket,State Average Composite
601,Appling County,20.8,Average,21.0
602,Atkinson County,,0,21.0
603,Bacon County,16.6,Below Average,21.0
604,Baker County,,0,21.0
605,Baldwin County,17.9,Below Average,21.0
606,Banks County,20.1,Average,21.0
607,Barrow County,19.5,Average,21.0
608,Bartow County,20.3,Average,21.0
609,Ben Hill County,18.7,Below Average,21.0
610,Berrien County,,0,21.0
611,Bibb County,17.4,Below Average,21.0
612,Bleckley County,19.9,Average,21.0
613,Brantley County,20.8,Average,21.0
614,Brooks County,18.1,Below Average,21.0
615,Bryan County,21.6,Average,21.0
616,Bulloch County,20.6,Average,21.0
617,Burke County,17.4,Below Average,21.0
618,Butts County,17.4,Below Average,21.0
619,Calhoun County,,0,21.0
620,Camden County,20.8,Average,21.0
621,Candler County,20.6,Average,21.0
622,Carroll County,19.6,Average,21.0
623,Catoosa County,20.4,Average,21.0
624,Charlton County,18.8,Below Average,21.0
625,Savannah-Chatham County,18.4,Below Average,21.0
626,Chattahoochee County,20.0,Average,21.0
627,Chattooga County,19.2,Average,21.0
628,Cherokee County,22.9,Average,21.0
629,Clarke County,18.8,Below Average,21.0
631,Clayton County,17.8,Below Average,21.0
632,Clinch County,,0,21.0
633,Cobb County,22.7,Average,21.0
634,Coffee County,18.9,Below Average,21.0
635,Colquitt County,18.2,Below Average,21.0
636,Columbia County,22.8,Average,21.0
637,Cook County,17.9,Below Average,21.0
638,Coweta County,21.4,Average,21.0
639,Crawford County,19.0,Average,21.0
640,Crisp County,17.5,Below Average,21.0
641,Dade County,20.3,Average,21.0
642,Dawson County,20.5,Average,21.0
643,Decatur County,19.5,Average,21.0
644,DeKalb County,19.9,Average,21.0
645,Dodge County,21.4,Average,21.0
646,Dooly County,15.5,Below Average,21.0
647,Dougherty County,17.5,Below Average,21.0
648,Douglas County,19.4,Average,21.0
649,Early County,18.8,Below Average,21.0
650,Echols County,19.4,Average,21.0
651,Effingham County,21.4,Average,21.0
652,Elbert County,18.9,Below Average,21.0
653,Emanuel County,17.9,Below Average,21.0
654,Evans County,18.8,Below Average,21.0
655,Fannin County,21.1,Average,21.0
656,Fayette County,23.7,Above Average,21.0
657,Floyd County,21.0,Average,21.0
658,Forsyth County,24.6,Above Average,21.0
659,Franklin County,20.2,Average,21.0
660,Fulton County,23.5,Above Average,21.0
661,Gilmer County,21.8,Average,21.0
662,Glascock County,,0,21.0
663,Glynn County,20.6,Average,21.0
