LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,601,Appling County,103,Appling County High School,All Students,Composite,1782820,32389,24,24,20.7,20.4,18.8,18.8
2018-19,601,Appling County,103,Appling County High School,All Students,English,1782820,32388,24,24,20.1,19.8,17.3,17.3
2018-19,601,Appling County,103,Appling County High School,All Students,Mathematics,1782820,32391,24,24,20.4,19.8,18.7,18.7
2018-19,601,Appling County,103,Appling County High School,All Students,Reading,1782820,32390,24,24,21.2,21.3,20,20
2018-19,601,Appling County,103,Appling County High School,All Students,Science,1782820,32389,24,24,20.6,20.4,18.9,18.9
2018-19,601,Appling County,103,Appling County High School,All Students,Writing Subscore,788161,7605,5,5,6.5,6.7,,
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Composite,1782820,32389,13,13,20.7,20.4,18,18
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,English,1782820,32388,13,13,20.1,19.8,17.5,17.5
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1782820,32391,13,13,20.4,19.8,18.4,18.4
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1782820,32390,13,13,21.2,21.3,17.8,17.8
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Science,1782820,32389,13,13,20.6,20.4,17.5,17.5
2018-19,602,Atkinson County,103,Atkinson County High School,All Students,Writing Subscore,788161,7605,2,2,6.5,6.7,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,Composite,1782820,32389,7,7,20.7,20.4,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,English,1782820,32388,7,7,20.1,19.8,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1782820,32391,7,7,20.4,19.8,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,Reading,1782820,32390,7,7,21.2,21.3,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,Science,1782820,32389,7,7,20.6,20.4,,
2018-19,603,Bacon County,302,Bacon County High School,All Students,Writing Subscore,788161,7605,2,2,6.5,6.7,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Composite,1782820,32389,6,6,20.7,20.4,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,English,1782820,32388,6,6,20.1,19.8,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1782820,32391,6,6,20.4,19.8,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Reading,1782820,32390,6,6,21.2,21.3,,
2018-19,604,Baker County,105,Baker County K12 School,All Students,Science,1782820,32389,6,6,20.6,20.4,,
