District ID,County Name,Grades 9-12 Students
601,APPLING COUNTY,1005.0
602,ATKINSON COUNTY,488.0
761,ATLANTA PUBLIC SCHOOLS,12244.0
603,BACON COUNTY,577.0
604,BAKER COUNTY,78.0
605,BALDWIN COUNTY,1180.0
606,BANKS COUNTY,885.0
607,BARROW COUNTY,3823.0
608,BARTOW COUNTY,4057.0
609,BEN HILL COUNTY,829.0
610,BERRIEN COUNTY,860.0
611,BIBB COUNTY,6373.0
612,BLECKLEY COUNTY,711.0
613,BRANTLEY COUNTY,971.0
763,BREMEN CITY,683.0
614,BROOKS COUNTY,579.0
615,BRYAN COUNTY,2732.0
764,BUFORD CITY,1426.0
616,BULLOCH COUNTY,2849.0
617,BURKE COUNTY,1191.0
618,BUTTS COUNTY,962.0
765,CALHOUN CITY,1105.0
619,CALHOUN COUNTY,198.0
620,CAMDEN COUNTY,2535.0
621,CANDLER COUNTY,570.0
622,CARROLL COUNTY,4296.0
766,CARROLLTON CITY,1610.0
767,CARTERSVILLE CITY,1360.0
623,CATOOSA COUNTY,3380.0
868,CENTRAL SAVANNAH RIVER RESA,
624,CHARLTON COUNTY,444.0
626,CHATTAHOOCHEE COUNTY,422.0
872,CHATTAHOOCHEE-FLINT RESA,
627,CHATTOOGA COUNTY,806.0
628,CHEROKEE COUNTY,13357.0
769,CHICKAMAUGA CITY,436.0
773,CITY SCHOOLS OF DECATUR,1339.0
629,CLARKE COUNTY,3247.0
630,CLAY COUNTY,
631,CLAYTON COUNTY,15055.0
632,CLINCH COUNTY,391.0
886,COASTAL PLAINS RESA,
633,COBB COUNTY,35497.0
634,COFFEE COUNTY,2047.0
635,COLQUITT COUNTY,2489.0
636,COLUMBIA COUNTY,8214.0
771,COMMERCE CITY,479.0
637,COOK COUNTY,909.0
638,COWETA COUNTY,7241.0
639,CRAWFORD COUNTY,470.0
640,CRISP COUNTY,1107.0
641,DADE COUNTY,572.0
772,DALTON PUBLIC SCHOOLS,2268.0
642,DAWSON COUNTY,1047.0
643,DECATUR COUNTY,1539.0
644,DEKALB COUNTY,27757.0
890,DEPARTMENT OF CORRECTIONS,
892,DEPARTMENT OF HUMAN RESOURCES,
891,DEPARTMENT OF JUVENILE JUSTICE,436.0
896,DEPARTMENT OF LABOR,
645,DODGE COUNTY,900.0
646,DOOLY COUNTY,344.0
647,DOUGHERTY COUNTY,3811.0
648,DOUGLAS COUNTY,8518.0
774,DUBLIN CITY,651.0
649,EARLY COUNTY,633.0
650,ECHOLS COUNTY,222.0
651,EFFINGHAM COUNTY,3471.0
652,ELBERT COUNTY,811.0
653,EMANUEL COUNTY,1088.0
654,EVANS COUNTY,469.0
655,FANNIN COUNTY,919.0
656,FAYETTE COUNTY,7106.0
880,FIRST DISTRICT RESA,
657,FLOYD COUNTY,2853.0
658,FORSYTH COUNTY,14263.0
659,FRANKLIN COUNTY,1135.0
660,FULTON COUNTY,30189.0
776,GAINESVILLE CITY,2125.0
661,GILMER COUNTY,1182.0
662,GLASCOCK COUNTY,157.0
663,GLYNN COUNTY,3683.0
664,GORDON COUNTY,2024.0
665,GRADY COUNTY,1226.0
666,GREENE COUNTY,638.0
862,GRIFFIN RESA,
726,GRIFFIN-SPALDING COUNTY,2804.0
667,GWINNETT COUNTY,56851.0
668,HABERSHAM COUNTY,1924.0
669,HALL COUNTY,8547.0
670,HANCOCK COUNTY,247.0
671,HARALSON COUNTY,962.0
672,HARRIS COUNTY,1691.0
673,HART COUNTY,1020.0
674,HEARD COUNTY,618.0
876,HEART OF GEORGIA RESA,
675,HENRY COUNTY,14142.0
676,HOUSTON COUNTY,8424.0
677,IRWIN COUNTY,479.0
678,JACKSON COUNTY,2120.0
679,JASPER COUNTY,691.0
680,JEFF DAVIS COUNTY,860.0
779,JEFFERSON CITY,1103.0
681,JEFFERSON COUNTY,828.0
682,JENKINS COUNTY,309.0
683,JOHNSON COUNTY,373.0
684,JONES COUNTY,1555.0
685,LAMAR COUNTY,755.0
686,LANIER COUNTY,428.0
687,LAURENS COUNTY,1774.0
688,LEE COUNTY,1835.0
689,LIBERTY COUNTY,2789.0
690,LINCOLN COUNTY,369.0
691,LONG COUNTY,974.0
692,LOWNDES COUNTY,2865.0
693,LUMPKIN COUNTY,1118.0
694,MACON COUNTY,443.0
695,MADISON COUNTY,1441.0
781,MARIETTA CITY,2500.0
696,MARION COUNTY,417.0
697,MCDUFFIE COUNTY,1144.0
698,MCINTOSH COUNTY,401.0
699,MERIWETHER COUNTY,733.0
856,METRO RESA,
864,MIDDLE GEORGIA RESA,
700,MILLER COUNTY,279.0
701,MITCHELL COUNTY,549.0
702,MONROE COUNTY,1215.0
703,MONTGOMERY COUNTY,254.0
704,MORGAN COUNTY,954.0
705,MURRAY COUNTY,2161.0
706,MUSCOGEE COUNTY,9102.0
707,NEWTON COUNTY,5909.0
852,NORTH GEORGIA RESA,
858,NORTHEAST GEORGIA RESA,
850,NORTHWEST GEORGIA RESA,
708,OCONEE COUNTY,2487.0
866,OCONEE RESA,
709,OGLETHORPE COUNTY,659.0
888,OKEFENOKEE RESA,
710,PAULDING COUNTY,9244.0
711,PEACH COUNTY,970.0
784,PELHAM CITY,422.0
712,PICKENS COUNTY,1399.0
713,PIERCE COUNTY,1048.0
714,PIKE COUNTY,1147.0
854,PIONEER RESA,
715,POLK COUNTY,2187.0
716,PULASKI COUNTY,364.0
717,PUTNAM COUNTY,763.0
718,QUITMAN COUNTY,113.0
719,RABUN COUNTY,625.0
720,RANDOLPH COUNTY,270.0
721,RICHMOND COUNTY,8544.0
722,ROCKDALE COUNTY,5263.0
785,ROME CITY,1865.0
625,SAVANNAH-CHATHAM COUNTY,9223.0
723,SCHLEY COUNTY,385.0
724,SCREVEN COUNTY,638.0
725,SEMINOLE COUNTY,430.0
786,SOCIAL CIRCLE CITY,534.0
884,SOUTHWEST GEORGIA RESA,
727,STEPHENS COUNTY,1143.0
728,STEWART COUNTY,111.0
729,SUMTER COUNTY,1218.0
730,TALBOT COUNTY,138.0
731,TALIAFERRO COUNTY,46.0
732,TATTNALL COUNTY,1024.0
733,TAYLOR COUNTY,446.0
734,TELFAIR COUNTY,500.0
735,TERRELL COUNTY,370.0
736,THOMAS COUNTY,1676.0
745,THOMASTON-UPSON COUNTY,1311.0
789,THOMASVILLE CITY,762.0
737,TIFT COUNTY,2208.0
738,TOOMBS COUNTY,810.0
739,TOWNS COUNTY,328.0
740,TREUTLEN COUNTY,279.0
791,TRION CITY,413.0
741,TROUP COUNTY,3388.0
742,TURNER COUNTY,361.0
743,TWIGGS COUNTY,259.0
744,UNION COUNTY,856.0
792,VALDOSTA CITY,2117.0
793,VIDALIA CITY,703.0
746,WALKER COUNTY,2429.0
747,WALTON COUNTY,4091.0
748,WARE COUNTY,1548.0
749,WARREN COUNTY,144.0
750,WASHINGTON COUNTY,848.0
751,WAYNE COUNTY,1497.0
752,WEBSTER COUNTY,91.0
860,WEST GEORGIA RESA,
753,WHEELER COUNTY,285.0
754,WHITE COUNTY,1105.0
755,WHITFIELD COUNTY,3850.0
756,WILCOX COUNTY,320.0
757,WILKES COUNTY,429.0
758,WILKINSON COUNTY,405.0
759,WORTH COUNTY,868.0
