"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","601","Appling County","0103","Appling County High School","All Students","Composite",1914817,45081,29,29,20.8,21,20.8,20.8
"2017-18","601","Appling County","0103","Appling County High School","All Students","English",1914817,45077,29,29,20.2,20.4,19.8,19.8
"2017-18","601","Appling County","0103","Appling County High School","All Students","Mathematics",1914817,45080,29,29,20.5,20.4,20.4,20.4
"2017-18","601","Appling County","0103","Appling County High School","All Students","Reading",1914817,45076,29,29,21.3,21.7,22,22
"2017-18","601","Appling County","0103","Appling County High School","All Students","Science",1914817,45077,29,29,20.7,21,20.1,20.1
"2017-18","601","Appling County","0103","Appling County High School","All Students","Writing Subscore",903603,14029,7,7,6.5,6.9,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Composite",1914817,45081,7,7,20.8,21,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","English",1914817,45077,7,7,20.2,20.4,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Mathematics",1914817,45080,7,7,20.5,20.4,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Reading",1914817,45076,7,7,21.3,21.7,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Science",1914817,45077,7,7,20.7,21,,
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Writing Subscore",903603,14029,4,4,6.5,6.9,,
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Composite",1914817,45081,20,20,20.8,21,16.6,16.6
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","English",1914817,45077,20,20,20.2,20.4,15.4,15.4
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Mathematics",1914817,45080,20,20,20.5,20.4,16.5,16.5
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Reading",1914817,45076,20,20,21.3,21.7,17.1,17.1
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Science",1914817,45077,20,20,20.7,21,16.7,16.7
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Writing Subscore",903603,14029,6,6,6.5,6.9,,
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Composite",1914817,45081,4,4,20.8,21,,
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","English",1914817,45077,4,4,20.2,20.4,,
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Mathematics",1914817,45080,4,4,20.5,20.4,,
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Reading",1914817,45076,4,4,21.3,21.7,,
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Science",1914817,45077,4,4,20.7,21,,
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Composite",1914817,45081,95,95,20.8,21,17.9,17.9
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","English",1914817,45077,95,95,20.2,20.4,17.1,17.1
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Mathematics",1914817,45080,95,95,20.5,20.4,17.3,17.3
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Reading",1914817,45076,95,95,21.3,21.7,18.5,18.5
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Science",1914817,45077,95,95,20.7,21,18.2,18.2
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Writing Subscore",903603,14029,30,30,6.5,6.9,6.5,6.5
"2017-18","606","Banks County","0199","Banks County High School","All Students","Composite",1914817,45081,52,52,20.8,21,20.1,20.1
"2017-18","606","Banks County","0199","Banks County High School","All Students","English",1914817,45077,52,52,20.2,20.4,19.7,19.7
"2017-18","606","Banks County","0199","Banks County High School","All Students","Mathematics",1914817,45080,52,52,20.5,20.4,19.1,19.1
"2017-18","606","Banks County","0199","Banks County High School","All Students","Reading",1914817,45076,52,52,21.3,21.7,20.9,20.9
"2017-18","606","Banks County","0199","Banks County High School","All Students","Science",1914817,45077,52,52,20.7,21,20.1,20.1
"2017-18","606","Banks County","0199","Banks County High School","All Students","Writing Subscore",903603,14029,14,14,6.5,6.9,6.9,6.9
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Composite",1914817,45081,268,142,20.8,21,19.5,19.1
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","English",1914817,45077,268,142,20.2,20.4,18,17.5
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Mathematics",1914817,45080,268,142,20.5,20.4,19.4,19.2
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Reading",1914817,45076,268,142,21.3,21.7,20.2,19.6
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Science",1914817,45077,268,142,20.7,21,20,19.5
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Writing Subscore",903603,14029,100,57,6.5,6.9,6.4,6.2
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Composite",1914817,45081,268,126,20.8,21,19.5,20
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","English",1914817,45077,268,126,20.2,20.4,18,18.6
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Mathematics",1914817,45080,268,126,20.5,20.4,19.4,19.6
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading",1914817,45076,268,126,21.3,21.7,20.2,20.8
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Science",1914817,45077,268,126,20.7,21,20,20.7
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Writing Subscore",903603,14029,100,43,6.5,6.9,6.4,6.6
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Composite",1914817,45081,312,81,20.8,21,20.3,19.5
