Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2016 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 1050 - Altamaha Elementary School,66.2
601,Appling County, 0103 - Appling County High School,64.09
601,Appling County, 0277 - Appling County Primary School,81.47
601,Appling County, 5050 - Fourth District Elementary School,77.19
601,Appling County, 0177 - Appling County Elementary School,80.22
601,Appling County, 0195 - Appling County Middle School,71.41
602,Atkinson County, 0103 - Atkinson County High School,84.93
602,Atkinson County, 0111 - Atkinson County Middle School,84.92
602,Atkinson County, 0190 - Pearson Elementary School,*
602,Atkinson County, 0187 - Willacoochee Elementary School,*
761,Atlanta Public Schools, 0415 - Atlanta Classical Academy,#
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 0406 - School of Health Sciences and Research at Carver,*
761,Atlanta Public Schools, 1063 - Hutchinson Elementary School,*
761,Atlanta Public Schools, 0315 - Booker T. Washington High School,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 5558 - Dunbar Elementary School,*
761,Atlanta Public Schools, 0208 - South Atlanta Law and Social Justice School,*
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 0604 - Bazoline E. Usher/Collier Heights Elmentary School,*
761,Atlanta Public Schools, 0180 - Bunche Middle School,*
761,Atlanta Public Schools, 1052 - Bethune Elementary School,*
761,Atlanta Public Schools, 0108 - South Atlanta School of Health and Medical Science,*
761,Atlanta Public Schools, 0282 - Young Middle School,*
761,Atlanta Public Schools, 0215 - Kipp WAYS Primary School,*
761,Atlanta Public Schools, 0214 - KIPP Vision Primary,*
761,Atlanta Public Schools, 3569 - Whitefoord Elementary School,*
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,50.32
761,Atlanta Public Schools, 4560 - Grady High School,36.73
761,Atlanta Public Schools, 1064 - Kimberly Elementary School,*
761,Atlanta Public Schools, 2664 - Crim High School,*
761,Atlanta Public Schools, 4066 - Slater Elementary School,*
761,Atlanta Public Schools, 1560 - Garden Hills Elementary School,65.88
761,Atlanta Public Schools, 3566 - Scott Elementary School,*
761,Atlanta Public Schools, 2057 - Connally Elementary School,*
761,Atlanta Public Schools, 4058 - Douglass High School,*
761,Atlanta Public Schools, 1664 - Morningside Elementary School,9.68
761,Atlanta Public Schools, 0115 - Kipp Strive Academy,73.51
761,Atlanta Public Schools, 0403 - APS-Forrest Hills Academy,*
761,Atlanta Public Schools, 0199 - Centennial Academy,79.73
761,Atlanta Public Schools, 2563 - Jackson Elementary School,5.55
761,Atlanta Public Schools, 3559 - Fickett Elementary School,*
761,Atlanta Public Schools, 5567 - Toomer Elementary School,*
761,Atlanta Public Schools, 0296 - Perkerson Elementary School,*
761,Atlanta Public Schools, 0605 - KIPP West Atlanta Young Scholars Academy,*
761,Atlanta Public Schools, 2568 - Venetian Hills Elementary School,*
761,Atlanta Public Schools, 0613 - Woodson Primary School,*
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter Facility,50.45
761,Atlanta Public Schools, 0188 - Sylvan Hills Middle School,*
