Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2018 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
601,Appling County, 1050 - Altamaha Elementary School,90.35
601,Appling County, 0103 - Appling County High School,90.35
601,Appling County, 0277 - Appling County Primary School,90.39
601,Appling County, 5050 - Fourth District Elementary School,90.56
601,Appling County, 0177 - Appling County Elementary School,90.33
601,Appling County, 0195 - Appling County Middle School,90.43
602,Atkinson County, 0103 - Atkinson County High School,80.12
602,Atkinson County, 0111 - Atkinson County Middle School,85.67
602,Atkinson County, 0190 - Pearson Elementary School,*
602,Atkinson County, 0187 - Willacoochee Elementary School,*
761,Atlanta Public Schools, 0373 - King Middle School,*
761,Atlanta Public Schools, 3057 - Continental Colony Elementary School,*
761,Atlanta Public Schools, 1063 - Hutchinson Elementary School,*
761,Atlanta Public Schools, 5558 - Dunbar Elementary School,*
761,Atlanta Public Schools, 4063 - M. A. Jones Elementary School,*
761,Atlanta Public Schools, 0315 - Booker T. Washington High School,*
761,Atlanta Public Schools, 5066 - Barack and Michelle Obama Academy,*
761,Atlanta Public Schools, 0604 - Bazoline E. Usher/Collier Heights Elmentary School,*
761,Atlanta Public Schools, 0282 - Young Middle School,*
761,Atlanta Public Schools, 0180 - Bunche Middle School,*
761,Atlanta Public Schools, 0214 - KIPP Vision Primary,*
761,Atlanta Public Schools, 0215 - Kipp WAYS Primary School,*
761,Atlanta Public Schools, 1413 - Carver High School,*
761,Atlanta Public Schools, 1414 - Michael R. Hollis Innovation Academy,*
761,Atlanta Public Schools, 4560 - Grady High School,30.56
761,Atlanta Public Schools, 4066 - Slater Elementary School,*
761,Atlanta Public Schools, 0201 - Charles R. Drew Charter School,45.29
761,Atlanta Public Schools, 1064 - Kimberly Elementary School,*
761,Atlanta Public Schools, 1560 - Garden Hills Elementary School,68.58
761,Atlanta Public Schools, 2664 - Crim High School,*
761,Atlanta Public Schools, 3566 - Scott Elementary School,*
761,Atlanta Public Schools, 4058 - Douglass High School,*
761,Atlanta Public Schools, 1664 - Morningside Elementary School,9.55
761,Atlanta Public Schools, 0115 - Kipp Strive Academy,71.83
761,Atlanta Public Schools, 0199 - Centennial Academy,*
761,Atlanta Public Schools, 3559 - Fickett Elementary School,*
761,Atlanta Public Schools, 0403 - APS-Forrest Hills Academy,*
761,Atlanta Public Schools, 2563 - Jackson Elementary School,#
761,Atlanta Public Schools, 5567 - Toomer Elementary School,*
761,Atlanta Public Schools, 0605 - KIPP West Atlanta Young Scholars Academy,*
761,Atlanta Public Schools, 0296 - Perkerson Elementary School,*
761,Atlanta Public Schools, 1208 - Wesley International Academy Charter Facility,46.47
761,Atlanta Public Schools, 0188 - Sylvan Hills Middle School,*
761,Atlanta Public Schools, 1563 - David T Howard Middle School,20.93
761,Atlanta Public Schools, 0101 - Parkside Elementary School,*
761,Atlanta Public Schools, 1416 - Tuskegee Airman Global Academy,*
761,Atlanta Public Schools, 0122 - KIPP VISION,*
761,Atlanta Public Schools, 1053 - Boyd Elementary School,*
761,Atlanta Public Schools, 0186 - Maynard H. Jackson  Jr. High School,*
761,Atlanta Public Schools, 1409 - Therrell High School,*
761,Atlanta Public Schools, 0314 - Westside Atlanta Charter School,36.59
761,Atlanta Public Schools, 1417 - Kindezi Old 4th Ward,*
761,Atlanta Public Schools, 4056 - Cleveland Elementary School,*
761,Atlanta Public Schools, 2569 - West Manor Elementary School,*
761,Atlanta Public Schools, 3059 - Fain Elementary School,*
761,Atlanta Public Schools, 1418 - John Lewis Invictus Academy,*
761,Atlanta Public Schools, 0206 - Atlanta Neighborhood Charter - Middle,18.8
761,Atlanta Public Schools, 0105 - Finch Elementary,*
761,Atlanta Public Schools, 0207 - Hillside Conant School,*
761,Atlanta Public Schools, 0116 - Springdale Park Elementary School,7.53
761,Atlanta Public Schools, 0515 - Charles Drew Charter School JA/SA,53.52
761,Atlanta Public Schools, 1068 - Towns Elementary School,*
