SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Debt Services,26481001.67,15.25
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,General Administration,343504452.5,197.8
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instruction,9655945844,5560.17
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instructional Support,578914189.4,333.36
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1253308794,721.69
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Media,240983064,138.76
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Pupil Services,499268753.1,287.49
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,5471294.76,3.15
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School Administration,1017504470,585.91
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School food Services,9360045.71,5.39
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Transportation,798322839.7,459.7
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Federal,50037635.81,28.81
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Local,6377891933,3672.57
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Other,37813979.78,21.77
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Other,147973602.5,85.21
2015-16,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State QBE,8187977860,4714.87
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,General Administration,825376.75,239.52
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instruction,20626560.23,5985.65
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instructional Support,1439123.53,417.62
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2537298.68,736.3
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Media,502937.62,145.95
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Pupil Services,935781.84,271.56
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0,0
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,School Administration,1590761.5,461.63
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,School food Services,29306.92,8.5
2015-16,601,Appling County,ALL,All Column Values,K-12 Expenditures,Transportation,1832330.02,531.73
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,Federal,0,0
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,Local,13486750.41,3913.74
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,Other,0,0
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,State Other,554063.71,160.78
2015-16,601,Appling County,ALL,All Column Values,K-12 Revenues,State QBE,17107504,4964.45
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Debt Services,0,0
2015-16,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,General Administration,0,0
