,school code,agency name,total operational schools,county name,highest grade taught,fall population,state revenue - lunch,expenditure - food,expenditure - textbooks,state revenue - transport,sat - district name,sat - test component,sat - state average,sat - district average,sat - score bracket,act - district name,act - state average,act - district average,act - score bracket
0,601,APPLING COUNTY,6,Appling County,12th Grade,3639.0,50000,2398000,38000,667000,Appling County,Combined Test Score,1052,1020.0,Average,Appling County,21.0,20.8,Average
1,602,ATKINSON COUNTY,4,Atkinson County,12th Grade,1699.0,31000,1215000,157000,254000,Atkinson County,Combined Test Score,1052,994.0,Average,Atkinson County,21.0,,0
2,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
3,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
4,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
5,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
6,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
7,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
8,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
9,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
10,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
11,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
12,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
13,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
14,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
15,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
16,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
17,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
18,761,ATLANTA PUBLIC SCHOOLS,89,Fulton County,12th Grade,52147.0,639000,28545000,6700000,3095000,Atlanta Public Schools,Combined Test Score,1052,948.0,Below Average,Atlanta Public Schools,21.0,18.8,Below Average
19,603,BACON COUNTY,4,Bacon County,12th Grade,2140.0,33000,1450000,7000,302000,Bacon County,Combined Test Score,1052,972.0,Below Average,Bacon County,21.0,16.6,Below Average
20,604,BAKER COUNTY,2,Baker County,12th Grade,286.0,6000,208000,38000,113000,Baker County,Combined Test Score,1052,900.0,Below Average,Baker County,21.0,,0
21,605,BALDWIN COUNTY,6,Baldwin County,12th Grade,5219.0,104000,4392000,300000,819000,Baldwin County,Combined Test Score,1052,944.0,Below Average,Baldwin County,21.0,17.9,Below Average
22,606,BANKS COUNTY,4,Banks County,12th Grade,2792.0,40000,1661000,71000,438000,Banks County,Combined Test Score,1052,1021.0,Average,Banks County,21.0,20.1,Average
23,607,BARROW COUNTY,16,Barrow County,12th Grade,13802.0,190000,8067000,189000,1083000,Barrow County,Combined Test Score,1052,1036.0,Average,Barrow County,21.0,19.5,Average
24,607,BARROW COUNTY,16,Barrow County,12th Grade,13802.0,190000,8067000,189000,1083000,Barrow County,Combined Test Score,1052,1036.0,Average,Barrow County,21.0,19.5,Average
25,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
26,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
27,608,BARTOW COUNTY,19,Bartow County,12th Grade,13536.0,178000,7144000,44000,1525000,Bartow County,Combined Test Score,1052,1043.0,Average,Bartow County,21.0,20.3,Average
28,609,BEN HILL COUNTY,4,Ben Hill County,12th Grade,3175.0,53000,2018000,80000,366000,Ben Hill County,Combined Test Score,1052,960.0,Below Average,Ben Hill County,21.0,18.7,Below Average
