SCHOOL_YEAR,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Debt Services,20227895.24,11.55
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,General Administration,376632674,215.07
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instruction,10541108345,6019.23
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Instructional Support,724880820,413.92
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,1354104206,773.23
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Media,252073937.3,143.94
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Pupil Services,613043018.7,350.06
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,6017290.44,3.44
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School Administration,1118082665,638.45
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,School food Services,9674944.05,5.52
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Expenditures,Transportation,902928971.8,515.59
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Federal,54775082.18,31.28
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Local,6974888643,3982.83
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,Other,34336871.8,19.61
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Lottery,0,0
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State Other,155251467.4,88.65
2017-18,ALL,All Column Values,ALL,All Column Values,K-12 Revenues,State QBE,9076443628,5182.87
2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0,0
2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,General Administration,839011.19,240.89
2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instruction,21602137.39,6202.16
2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instructional Support,1405654.54,403.58
2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2388308.23,685.7
