Row Labels,Average of DSTRCT_AVG_SCORE_VAL
Appling County,20.62
Composite,20.8
English,19.8
Mathematics,20.4
Reading,22
Science,20.1
Writing Subscore,
Atkinson County,
Composite,
English,
Mathematics,
Reading,
Science,
Writing Subscore,
Atlanta Public Schools,16.70842105
Composite,18.8
English,18
Mathematics,18.4
Reading,19.4
Science,18.7
Writing Subscore,6.3
Bacon County,16.46
Composite,16.6
English,15.4
Mathematics,16.5
Reading,17.1
Science,16.7
Writing Subscore,
Baker County,
Composite,
English,
Mathematics,
Reading,
Science,
Baldwin County,15.91666667
Composite,17.9
English,17.1
Mathematics,17.3
Reading,18.5
Science,18.2
Writing Subscore,6.5
Banks County,17.8
Composite,20.1
English,19.7
Mathematics,19.1
Reading,20.9
Science,20.1
Writing Subscore,6.9
Barrow County,17.25
Composite,19.5
English,18
Mathematics,19.4
Reading,20.2
Science,20
Writing Subscore,6.4
Bartow County,17.91666667
Composite,20.3
English,19.7
Mathematics,19.3
Reading,21.1
Science,20.5
Writing Subscore,6.6
Ben Hill County,18.58
Composite,18.7
English,17.7
Mathematics,18.8
Reading,18.8
Science,18.9
Writing Subscore,
Berrien County,
Composite,
English,
Mathematics,
Reading,
Science,
Writing Subscore,
Bibb County,15.41666667
Composite,17.4
English,16.2
Mathematics,17.2
Reading,17.6
Science,17.9
Writing Subscore,6.2
Bleckley County,19.76
Composite,19.9
English,18.4
Mathematics,19.5
Reading,20.2
Science,20.8
Writing Subscore,
Brantley County,18.28333333
Composite,20.8
English,20.2
Mathematics,19
Reading,22.1
Science,21.1
Writing Subscore,6.5
Bremen City,19.01666667
Composite,21.6
English,21.9
Mathematics,20.5
Reading,22.2
Science,21.3
Writing Subscore,6.6
Brooks County,16.13333333
Composite,18.1
English,16.3
Mathematics,18
Reading,18.9
Science,18.6
Writing Subscore,6.9
Bryan County,19.03333333
Composite,21.6
English,21
Mathematics,20.9
Reading,22.2
Science,21.7
Writing Subscore,6.8
Buford City,20.5
Composite,23.2
English,22.6
Mathematics,23.5
Reading,23.2
Science,23.3
Writing Subscore,7.2
Bulloch County,18.06666667
Composite,20.6
English,19.8
Mathematics,19.9
Reading,21.3
Science,20.7
Writing Subscore,6.1
Burke County,15.45
Composite,17.4
English,16.4
Mathematics,17.7
Reading,17.3
Science,17.7
Writing Subscore,6.2
Butts County,15.46666667
Composite,17.4
English,16.2
Mathematics,17.3
Reading,17.8
Science,18.1
Writing Subscore,6
Calhoun City,18.13333333
Composite,20.6
English,19.5
Mathematics,19.9
Reading,21.5
Science,21
Writing Subscore,6.3
Calhoun County,
Composite,
English,
Mathematics,
Reading,
Science,
Writing Subscore,
Camden County,18.3
Composite,20.8
English,20.1
Mathematics,20.1
Reading,21.7
Science,20.8
Writing Subscore,6.3
Candler County,20.58
Composite,20.6
English,19.9
Mathematics,19.7
Reading,21.7
Science,21
Writing Subscore,
Carroll County,17.33333333
Composite,19.6
English,19.1
Mathematics,18.8
Reading,20.3
Science,19.8
Writing Subscore,6.4
Carrollton City,18.23333333
Composite,20.7
English,20.3
Mathematics,20.1
Reading,21.3
Science,20.4
Writing Subscore,6.6
Cartersville City,18.35
Composite,20.8
English,20.4
Mathematics,20.4
Reading,21.2
Science,20.8
Writing Subscore,6.5
Catoosa County,18.05
Composite,20.4
English,19.9
Mathematics,19.3
Reading,21.2
Science,20.7
Writing Subscore,6.8
Charlton County,18.72
Composite,18.8
English,18
Mathematics,18.6
Reading,18.9
Science,19.3
Writing Subscore,
Chattahoochee County,19.86
Composite,20
English,18.5
Mathematics,19.8
Reading,20.2
Science,20.8
Writing Subscore,
Chattooga County,16.93333333
Composite,19.2
English,18.7
Mathematics,18.5
Reading,20
Science,18.9
Writing Subscore,6.3
Cherokee County,20.46170213
Composite,22.9
English,22.6
Mathematics,22.1
Reading,23.7
Science,22.7
Writing Subscore,7.1
Chickamauga City,18.08333333
Composite,20.5
English,20.3
Mathematics,19.1
Reading,21.7
Science,20.4
Writing Subscore,6.5
Clarke County,16.73333333
Composite,18.8
English,17.5
Mathematics,18.6
Reading,19.3
Science,19.1
Writing Subscore,7.1
Clayton County,15.81666667
Composite,17.8
English,16.6
Mathematics,17.3
Reading,18.4
Science,18.2
Writing Subscore,6.6
Clinch County,
Composite,
English,
Mathematics,
Reading,
Science,
Writing Subscore,
Cobb County,20.17722772
Composite,22.7
English,22.5
Mathematics,22
Reading,23.5
Science,22.4
Writing Subscore,7.2
Coffee County,17.62727273
Composite,18.9
English,17.6
Mathematics,18.8
Reading,19.4
Science,19.2
Writing Subscore,6.1
Colquitt County,16.1
Composite,18.2
English,16.8
Mathematics,18.1
Reading,18.5
Science,19.1
Writing Subscore,5.9
Columbia County,20.1
Composite,22.8
English,22.2
Mathematics,22.2
Reading,23.6
Science,22.9
Writing Subscore,6.9
Commerce City,20.62
Composite,20.7
English,20.1
Mathematics,19.1
Reading,22.2
Science,21
Writing Subscore,
Commission Charter Schools- CCAT School,
Composite,
English,
Mathematics,
Reading,
Science,
Commission Charter Schools- Fulton Leadership Academy,
Composite,
English,
Mathematics,
Reading,
Science,
Writing Subscore,
Cook County,15.8
Composite,17.9
English,16.5
Mathematics,17.3
Reading,18.6
Science,18.6
Writing Subscore,5.9
Coweta County,18.85
Composite,21.4
English,20.9
Mathematics,20.5
Reading,22.1
Science,21.5
Writing Subscore,6.7
Crawford County,18.94
Composite,19
English,19.2
Mathematics,18
Reading,20.1
Science,18.4
Writing Subscore,
Crisp County,17.42
Composite,17.5
English,16.4
Mathematics,16.8
Reading,18.4
Science,18
Writing Subscore,
Dade County,17.96666667
Composite,20.3
English,19.4
Mathematics,19.4
Reading,21.4
Science,20.5
Writing Subscore,6.8
Dalton Public Schools,19.06666667
Composite,21.5
English,20.9
Mathematics,20.7
Reading,22.8
Science,21.1
Writing Subscore,7.4
Dawson County,18.08333333
Composite,20.5
English,19.4
Mathematics,19.9
Reading,21.7
Science,20.8
Writing Subscore,6.2
Decatur City,22.18333333
Composite,25.1
English,25.3
Mathematics,23.4
Reading,26.7
Science,24.7
Writing Subscore,7.9
Decatur County,17.15
Composite,19.5
English,19
Mathematics,17.8
Reading,20.5
Science,20
Writing Subscore,6.1
DeKalb County,17.61666667
Composite,19.9
English,19.4
Mathematics,19.1
Reading,20.7
Science,19.8
Writing Subscore,6.8
Dodge County,21.3
Composite,21.4
English,20.8
Mathematics,21.1
Reading,22.1
Science,21.1
Writing Subscore,
Dooly County,15.34
Composite,15.5
English,13.5
Mathematics,16.3
Reading,15.7
Science,15.7
Writing Subscore,
Dougherty County,15.51666667
Composite,17.5
English,16.5
Mathematics,16.9
Reading,18.1
Science,18
Writing Subscore,6.1
Douglas County,17.21666667
Composite,19.4
English,18.6
Mathematics,18.7
Reading,20.3
Science,19.6
Writing Subscore,6.7
Dublin City,14.73333333
Composite,16.8
English,15.7
Mathematics,16.3
Reading,17.7
Science,16.8
Writing Subscore,5.1
Early County,18.72
Composite,18.8
English,17.5
Mathematics,18.4
Reading,19.7
Science,19.2
Writing Subscore,
Echols County,19.32
Composite,19.4
English,18.4
Mathematics,18.4
Reading,20.7
Science,19.7
Writing Subscore,
Effingham County,18.91666667
Composite,21.4
English,20.8
Mathematics,20.5
Reading,22.5
Science,21.4
Writing Subscore,6.9
Elbert County,18.8
Composite,18.9
English,17.7
Mathematics,18.6
Reading,19.7
Science,19.1
Writing Subscore,
Emanuel County,17.86
Composite,17.9
English,16.4
Mathematics,17.1
Reading,19.2
Science,18.7
Writing Subscore,
Evans County,18.74
Composite,18.8
English,18.1
Mathematics,17.7
Reading,19.7
Science,19.4
Writing Subscore,
Fannin County,20.96
Composite,21.1
English,20.5
Mathematics,20.8
Reading,22
Science,20.4
Writing Subscore,
Fayette County,20.85
Composite,23.7
English,23.5
Mathematics,23
Reading,24.4
Science,23.4
Writing Subscore,7.1
Floyd County,18.6
Composite,21
English,20.1
Mathematics,20.1
Reading,22
Science,21.3
Writing Subscore,7.1
Forsyth County,21.94634146
Composite,24.6
English,24.4
Mathematics,23.8
Reading,25.2
Science,24.2
Writing Subscore,7.4
Franklin County,20.02
Composite,20.2
English,18.4
Mathematics,19.9
Reading,21.7
Science,19.9
Writing Subscore,
Fulton County,20.84299065
Composite,23.5
English,23.5
Mathematics,22.9
Reading,24.1
Science,23.1
Writing Subscore,7.2
Gainesville City,17.46666667
Composite,19.8
English,19.4
Mathematics,19.9
Reading,19.9
Science,19.3
Writing Subscore,6.5
Gilmer County,19.21666667
Composite,21.8
English,21.1
Mathematics,20.8
Reading,23.1
Science,21.7
Writing Subscore,6.8
Glascock County,
Composite,
English,
Mathematics,
Reading,
Science,
Glynn County,18.2
Composite,20.6
English,20.3
Mathematics,19.8
Reading,21.4
Science,20.5
Writing Subscore,6.6
Gordon County,17.76666667
Composite,20
English,19
Mathematics,19.9
Reading,20.7
Science,20.2
Writing Subscore,6.8
Grady County,15.4
Composite,17.3
English,16.1
Mathematics,16.8
Reading,17.7
Science,18
Writing Subscore,6.5
Greene County,14.38333333
Composite,16.2
English,14.9
Mathematics,16.1
Reading,16.3
Science,16.7
Writing Subscore,6.1
Griffin-Spalding County,16.3
Composite,18.5
English,17.3
Mathematics,17.9
Reading,19.2
Science,19
Writing Subscore,5.9
Gwinnett County,20
Composite,22.6
English,22
Mathematics,22.4
Reading,23
Science,22.5
Writing Subscore,7.5
Habersham County,18.83333333
Composite,21.2
English,20.6
Mathematics,20.5
Reading,22.2
Science,20.9
Writing Subscore,7.6
Hall County,18.70243902
Composite,20.9
English,20
Mathematics,20.5
Reading,21.5
Science,20.9
Writing Subscore,6.7
Hancock County,
Composite,
English,
Mathematics,
Reading,
Science,
Haralson County,21.36
Composite,21.4
English,21.3
Mathematics,19.6
Reading,22.7
Science,21.8
Writing Subscore,
Harris County,17.9
Composite,20.3
English,19.5
Mathematics,19.4
Reading,21.3
Science,20.4
Writing Subscore,6.5
Hart County,17.15
Composite,19.5
English,18.6
Mathematics,18.5
Reading,20.5
