CONUM,County Name [Public School] 2017-18,Total Number of Public Schools [Public School] 2017-18
13001,Appling County,6
13003,Atkinson County,4
13005,Bacon County,4
13007,Baker County,2
13009,Baldwin County,7
13011,Banks County,5
13013,Barrow County,16
13015,Bartow County,23
13017,Ben Hill County,4
13019,Berrien County,5
13021,Bibb County,41
13023,Bleckley County,5
13025,Brantley County,7
13027,Brooks County,6
13029,Bryan County,10
13031,Bulloch County,16
13033,Burke County,5
13035,Butts County,5
13037,Calhoun County,4
13039,Camden County,12
13043,Candler County,4
13045,Carroll County,29
13047,Catoosa County,16
13049,Charlton County,4
13051,Chatham County,58
13053,Chattahoochee County,3
13055,Chattooga County,9
13057,Cherokee County,38
13059,Clarke County,22
13061,Clay County,2
13063,Clayton County,67
13065,Clinch County,3
13067,Cobb County,124
13069,Coffee County,12
13071,Colquitt County,14
13073,Columbia County,32
13075,Cook County,4
13077,Coweta County,30
13079,Crawford County,3
13081,Crisp County,6
13083,Dade County,4
13085,Dawson County,7
13087,Decatur County,9
13089,DeKalb County,151
13091,Dodge County,7
13093,Dooly County,4
13095,Dougherty County,21
13097,Douglas County,35
13099,Early County,3
13101,Echols County,2
13103,Effingham County,13
13105,Elbert County,5
13107,Emanuel County,6
13109,Evans County,5
13111,Fannin County,5
13113,Fayette County,25
13115,Floyd County,28
13117,Forsyth County,37
13119,Franklin County,6
13121,Fulton County,198
13123,Gilmer County,6
13125,Glascock County,1
13127,Glynn County,17
13129,Gordon County,14
13131,Grady County,7
13133,Greene County,5
13135,Gwinnett County,144
13137,Habersham County,13
13139,Hall County,42
13141,Hancock County,3
13143,Haralson County,10
13145,Harris County,7
13147,Hart County,5
13149,Heard County,5
13151,Henry County,50
13153,Houston County,37
13155,Irwin County,3
13157,Jackson County,18
13159,Jasper County,4
13161,Jeff Davis County,4
13163,Jefferson County,6
13165,Jenkins County,3
13167,Johnson County,3
13169,Jones County,7
13171,Lamar County,4
13173,Lanier County,4
13175,Laurens County,13
13177,Lee County,8
13179,Liberty County,12
13181,Lincoln County,3
13183,Long County,4
13185,Lowndes County,20
13187,Lumpkin County,5
13193,Macon County,3
13195,Madison County,8
13197,Marion County,2
13189,McDuffie County,6
13191,McIntosh County,3
13199,Meriwether County,8
13201,Miller County,3
13205,Mitchell County,8
13207,Monroe County,6
13209,Montgomery County,3
13211,Morgan County,4
13213,Murray County,11
13215,Muscogee County,56
13217,Newton County,23
13219,Oconee County,10
13221,Oglethorpe County,4
13223,Paulding County,33
13225,Peach County,6
13227,Pickens County,7
13229,Pierce County,5
13231,Pike County,5
13233,Polk County,11
13235,Pulaski County,3
13237,Putnam County,4
13239,Quitman County,2
13241,Rabun County,4
13243,Randolph County,4
13245,Richmond County,59
13247,Rockdale County,21
13249,Schley County,2
13251,Screven County,3
13253,Seminole County,2
13255,Spalding County,18
13257,Stephens County,6
13259,Stewart County,3
13261,Sumter County,8
13263,Talbot County,1
13265,Taliaferro County,1
13267,Tattnall County,7
13269,Taylor County,5
13271,Telfair County,4
13273,Terrell County,4
13275,Thomas County,13
13277,Tift County,11
13279,Toombs County,9
13281,Towns County,3
13283,Treutlen County,2
13285,Troup County,18
13287,Turner County,4
13289,Twiggs County,3
13291,Union County,5
13293,Upson County,4
13295,Walker County,18
13297,Walton County,19
13299,Ware County,10
13301,Warren County,3
13303,Washington County,5
13305,Wayne County,8
13307,Webster County,2
13309,Wheeler County,3
13311,White County,8
13313,Whitfield County,32
13315,Wilcox County,3
13317,Wilkes County,4
13319,Wilkinson County,4
13321,Worth County,5
