"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2017-18","601","Appling County","0103","Appling County High School","All Students","Combined Test Score",2136539,65795,102,102,1052,1020,1020
"2017-18","601","Appling County","0103","Appling County High School","All Students","Essay Analysis Score - New",1449142,28569,29,29,4,3,3
"2017-18","601","Appling County","0103","Appling County High School","All Students","Essay Reading Score - New",1449142,28569,29,29,5,5,5
"2017-18","601","Appling County","0103","Appling County High School","All Students","Essay Total",1449142,28569,29,29,13,12,12
"2017-18","601","Appling County","0103","Appling County High School","All Students","Essay Writing Score - New",1449142,28569,29,29,5,5,5
"2017-18","601","Appling County","0103","Appling County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,102,102,536,515,515
"2017-18","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New",2136539,65790,102,102,516,505,505
"2017-18","601","Appling County","0103","Appling County High School","All Students","Reading Test  Score - New",2136539,65796,102,102,270,258,258
"2017-18","601","Appling County","0103","Appling County High School","All Students","WritLang Test  Score - New",2136539,65799,102,102,266,257,257
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score",2136539,65795,55,55,1052,994,994
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Analysis Score - New",1449142,28569,19,19,4,3,3
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Reading Score - New",1449142,28569,19,19,5,4,4
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Total",1449142,28569,19,19,13,12,12
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Essay Writing Score - New",1449142,28569,19,19,5,5,5
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,55,55,536,503,503
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Math Section Score - New",2136539,65790,55,55,516,491,491
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","Reading Test  Score - New",2136539,65796,55,55,270,254,254
"2017-18","602","Atkinson County","0103","Atkinson County High School","All Students","WritLang Test  Score - New",2136539,65799,55,55,266,249,249
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Combined Test Score",2136539,65795,63,63,1052,972,972
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Essay Analysis Score - New",1449142,28569,32,32,4,3,3
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Essay Reading Score - New",1449142,28569,32,32,5,4,4
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Essay Total",1449142,28569,32,32,13,11,11
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Essay Writing Score - New",1449142,28569,32,32,5,4,4
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,63,63,536,502,502
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Math Section Score - New",2136539,65790,63,63,516,470,470
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","Reading Test  Score - New",2136539,65796,63,63,270,254,254
"2017-18","603","Bacon County","0302","Bacon County High School","All Students","WritLang Test  Score - New",2136539,65799,63,63,266,248,248
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Combined Test Score",2136539,65795,10,10,1052,900,900
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Evidence Based Reading and Writing - New",1449142,65791,10,10,536,475,475
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Math Section Score - New",2136539,65790,10,10,516,425,425
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","Reading Test  Score - New",2136539,65796,10,10,270,233,233
"2017-18","604","Baker County","0105","Baker County K12 School","All Students","WritLang Test  Score - New",2136539,65799,10,10,266,242,242
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Combined Test Score",2136539,65795,127.333333333333333333333333333333333333,127.333333333333333333333333333333333333,1052,944,944
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Essay Analysis Score - New",1449142,28569,38,38,4,3,3
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Essay Reading Score - New",1449142,28569,38,38,5,4,4
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Essay Total",1449142,28569,38,38,13,12,12
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Essay Writing Score - New",1449142,28569,38,38,5,4,4
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,127,127,536,485,485
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Math Section Score - New",2136539,65790,127,127,516,459,459
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","Reading Test  Score - New",2136539,65796,127,127,270,246,246
"2017-18","605","Baldwin County","0189","Baldwin High School","All Students","WritLang Test  Score - New",2136539,65799,128,128,266,239,239
"2017-18","606","Banks County","0199","Banks County High School","All Students","Combined Test Score",2136539,65795,106,106,1052,1021,1021
"2017-18","606","Banks County","0199","Banks County High School","All Students","Essay Analysis Score - New",1449142,28569,35,35,4,3,3
"2017-18","606","Banks County","0199","Banks County High School","All Students","Essay Reading Score - New",1449142,28569,35,35,5,5,5
"2017-18","606","Banks County","0199","Banks County High School","All Students","Essay Total",1449142,28569,35,35,13,13,13
"2017-18","606","Banks County","0199","Banks County High School","All Students","Essay Writing Score - New",1449142,28569,35,35,5,5,5
"2017-18","606","Banks County","0199","Banks County High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,106,106,536,531,531
"2017-18","606","Banks County","0199","Banks County High School","All Students","Math Section Score - New",2136539,65790,106,106,516,490,490
"2017-18","606","Banks County","0199","Banks County High School","All Students","Reading Test  Score - New",2136539,65796,106,106,270,269,269
"2017-18","606","Banks County","0199","Banks County High School","All Students","WritLang Test  Score - New",2136539,65799,106,106,266,262,262
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Combined Test Score",2136539,65795,414,208,1052,1036,1036
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Essay Analysis Score - New",1449142,28569,204,107,4,3,3
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Essay Reading Score - New",1449142,28569,204,107,5,5,5
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Essay Total",1449142,28569,204,107,13,13,13
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Essay Writing Score - New",1449142,28569,204,107,5,5,5
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,414,208,536,527,527
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Math Section Score - New",2136539,65790,414,208,516,508,509
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","Reading Test  Score - New",2136539,65796,414,208,270,267,267
"2017-18","607","Barrow County","0101","Apalachee High School","All Students","WritLang Test  Score - New",2136539,65799,414,208,266,260,260
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Combined Test Score",2136539,65795,414,206,1052,1036,1035
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Analysis Score - New",1449142,28569,204,97,4,3,3
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Reading Score - New",1449142,28569,204,97,5,5,5
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Total",1449142,28569,204,97,13,13,12
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Writing Score - New",1449142,28569,204,97,5,5,5
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,414,206,536,527,527
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Math Section Score - New",2136539,65790,414,206,516,508,508
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading Test  Score - New",2136539,65796,414,206,270,267,267
"2017-18","607","Barrow County","3052","Winder-Barrow High School","All Students","WritLang Test  Score - New",2136539,65799,414,206,266,260,260
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Combined Test Score",2136539,65795,348,83,1052,1043,1030
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Essay Analysis Score - New",1449142,28569,147,33,4,3,3
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Essay Reading Score - New",1449142,28569,147,33,5,5,5
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Essay Total",1449142,28569,147,33,13,13,13
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Essay Writing Score - New",1449142,28569,147,33,5,5,5
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,348,83,536,541,528
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Math Section Score - New",2136539,65790,348,83,516,502,502
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","Reading Test  Score - New",2136539,65796,348,83,270,274,269
"2017-18","608","Bartow County","0105","Adairsville High School","All Students","WritLang Test  Score - New",2136539,65799,348,83,266,267,260
"2017-18","608","Bartow County","0114","Cass High School","All Students","Combined Test Score",2136539,65795,348,123,1052,1043,1042
"2017-18","608","Bartow County","0114","Cass High School","All Students","Essay Analysis Score - New",1449142,28569,147,60,4,3,4
"2017-18","608","Bartow County","0114","Cass High School","All Students","Essay Reading Score - New",1449142,28569,147,60,5,5,5
"2017-18","608","Bartow County","0114","Cass High School","All Students","Essay Total",1449142,28569,147,60,13,13,14
"2017-18","608","Bartow County","0114","Cass High School","All Students","Essay Writing Score - New",1449142,28569,147,60,5,5,5
"2017-18","608","Bartow County","0114","Cass High School","All Students","Evidence Based Reading and Writing - New",1449142,65791,348,123,536,541,543
"2017-18","608","Bartow County","0114","Cass High School","All Students","Math Section Score - New",2136539,65790,348,123,516,502,498
