School Dist Code,School Dist Name,Test Component,State Avg Score,Dist Avg Score,Test Score Bracket
601,Appling County,Combined Test Score,1052,1020.0,Average
602,Atkinson County,Combined Test Score,1052,994.0,Average
603,Bacon County,Combined Test Score,1052,972.0,Below Average
604,Baker County,Combined Test Score,1052,900.0,Below Average
605,Baldwin County,Combined Test Score,1052,944.0,Below Average
606,Banks County,Combined Test Score,1052,1021.0,Average
607,Barrow County,Combined Test Score,1052,1036.0,Average
607,Barrow County,Combined Test Score,1052,1036.0,Average
608,Bartow County,Combined Test Score,1052,1043.0,Average
608,Bartow County,Combined Test Score,1052,1043.0,Average
608,Bartow County,Combined Test Score,1052,1043.0,Average
609,Ben Hill County,Combined Test Score,1052,960.0,Below Average
610,Berrien County,Combined Test Score,1052,1016.0,Average
610,Berrien County,Combined Test Score,1052,1016.0,Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
611,Bibb County,Combined Test Score,1052,913.0,Below Average
612,Bleckley County,Combined Test Score,1052,1109.0,Average
613,Brantley County,Combined Test Score,1052,1025.0,Average
614,Brooks County,Combined Test Score,1052,979.0,Below Average
615,Bryan County,Combined Test Score,1052,1084.0,Average
615,Bryan County,Combined Test Score,1052,1084.0,Average
616,Bulloch County,Combined Test Score,1052,1047.0,Average
616,Bulloch County,Combined Test Score,1052,1047.0,Average
616,Bulloch County,Combined Test Score,1052,1047.0,Average
617,Burke County,Combined Test Score,1052,973.0,Below Average
618,Butts County,Combined Test Score,1052,991.0,Average
619,Calhoun County,Combined Test Score,1052,907.0,Below Average
620,Camden County,Combined Test Score,1052,1087.0,Average
621,Candler County,Combined Test Score,1052,1033.0,Average
622,Carroll County,Combined Test Score,1052,1021.0,Average
622,Carroll County,Combined Test Score,1052,1021.0,Average
622,Carroll County,Combined Test Score,1052,1021.0,Average
622,Carroll County,Combined Test Score,1052,1021.0,Average
622,Carroll County,Combined Test Score,1052,1021.0,Average
623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
623,Catoosa County,Combined Test Score,1052,1156.0,Above Average
624,Charlton County,Combined Test Score,1052,955.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
625,Savannah-Chatham County,Combined Test Score,1052,979.0,Below Average
626,Chattahoochee County,Combined Test Score,1052,930.0,Below Average
627,Chattooga County,Combined Test Score,1052,1009.0,Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
628,Cherokee County,Combined Test Score,1052,1121.0,Above Average
629,Clarke County,Combined Test Score,1052,980.0,Below Average
629,Clarke County,Combined Test Score,1052,980.0,Below Average
629,Clarke County,Combined Test Score,1052,980.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
631,Clayton County,Combined Test Score,1052,950.0,Below Average
632,Clinch County,Combined Test Score,1052,990.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
633,Cobb County,Combined Test Score,1052,1112.0,Average
634,Coffee County,Combined Test Score,1052,981.0,Below Average
634,Coffee County,Combined Test Score,1052,981.0,Below Average
634,Coffee County,Combined Test Score,1052,981.0,Below Average
635,Colquitt County,Combined Test Score,1052,1028.0,Average
636,Columbia County,Combined Test Score,1052,1106.0,Average
636,Columbia County,Combined Test Score,1052,1106.0,Average
636,Columbia County,Combined Test Score,1052,1106.0,Average
636,Columbia County,Combined Test Score,1052,1106.0,Average
636,Columbia County,Combined Test Score,1052,1106.0,Average
637,Cook County,Combined Test Score,1052,951.0,Below Average
638,Coweta County,Combined Test Score,1052,1092.0,Average
638,Coweta County,Combined Test Score,1052,1092.0,Average
638,Coweta County,Combined Test Score,1052,1092.0,Average
639,Crawford County,Combined Test Score,1052,1014.0,Average
