State Agency ID [District] 2017-18,Agency Name,State Name [District] Latest available year,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2017-18,Individualized Education Program Students [District] 2017-18,Direct Certification [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [District] 2017-18,Grades 9-12 Students [District] 2017-18,Female Students [District] 2017-18,Male Students [District] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [District] 2017-18,Asian or Asian/Pacific Islander Students [District] 2017-18,Hispanic Students [District] 2017-18,Black Students [District] 2017-18,White Students [District] 2017-18,Hawaiian Nat./Pacific Isl. Students [District] 2017-18,Two or More Races Students [District] 2017-18,Total Race/Ethnicity [District] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black Students [Public School] 2017-18,White Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,State Name [District] 2017-18,Agency Name [District] 2017-18,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2017-18,County Number [District] 2017-18,Lowest Grade Offered [District] 2017-18,Highest Grade Offered [District] 2017-18,Agency Type [District] 2017-18,School District Level Code (SCHLEV) [District Finance] 2017-18,Full-Time Equivalent (FTE) Teachers [District] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [District] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18,Total Staff [District] 2017-18,Instructional Aides [District] 2017-18,Instructional Coordinators [District] 2017-18,Elementary Guidance Counselors [District] 2017-18,Secondary Guidance Counselors [District] 2017-18,Other Guidance Counselors [District] 2017-18,Total Guidance Counselors [District] 2017-18,Librarians/Media Specialists [District] 2017-18,Library Media Support Staff [District] 2017-18,LEA Administrators [District] 2017-18,LEA Administrative Support Staff [District] 2017-18,School Administrators [District] 2017-18,School Administrative Support Staff [District] 2017-18,Student Support Services Staff [District] 2017-18,Other Support Services Staff [District] 2017-18,"Total Students, All Grades (Excludes AE) [District] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2017-18",Metro Micro Area Code [District] 2017-18,Urban-centric Locale [District] 2017-18,ANSI/FIPS State Code [District] Latest available year,CBSA ID [District] 2017-18,CSA ID [District] 2017-18,Supervisory Union (ID) Number [District] 2017-18,Congressional Code [District] 2017-18,Census ID (CENSUSID) [District Finance] 2017-18,LEA Charter Status [District] 2017-18,Agency Charter Status [District] 2017-18
601,APPLING COUNTY,Georgia,242,526,1779,3289,0,3289,2131,1005,1763,1876,1876,1763,2,26,569,817,2098,1,126,3639,26,2,569,817,2098,1,126,3639,GEORGIA,Appling County,1300060,Appling County,13001,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,247.1,247.1,14.73,14.73,505.1,77.9,8.3,3.4,5.6,0,9,5,2,8.7,4.6,10,20.9,15.8,95.8,3639,3639,0-New England (NECTA) or not reported,33-Town: Remote,13,NA,NA,    ,1312,11500100100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
602,ATKINSON COUNTY,Georgia,208,192,523,1328,197,1525,996,488,836,863,863,836,1,0,662,270,737,0,29,1699,0,1,662,270,737,0,29,1699,GEORGIA,Atkinson County,1300090,Atkinson County,13003,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,113.3,113.1,15,15.02,229.4,31,1,2,2,0,4,2.5,2,5.1,3,7,5,6.5,49,1699,1699,0-New England (NECTA) or not reported,43-Rural: Remote,13,NA,NA,    ,1308,11500200100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
761,ATLANTA PUBLIC SCHOOLS,Georgia,1908,5623,17653,38992,588,39580,34048,12244,25749,26398,26398,25749,79,563,3772,38467,8085,41,1140,52147,563,79,3772,38467,8085,41,1140,52147,GEORGIA,Atlanta Public Schools,1300120,Fulton County,13121,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,3921.2,3897.2,13.3,13.38,7871.2,777.9,433.7,58.5,80,0,138.5,80,5,143.2,197.1,271,234.1,255.2,1414.3,52147,52147,1-Metropolitan Area,11-City: Large,13,12060,122,    ,1305,11506000100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,2-All associated schools are charter and noncharter
603,BACON COUNTY,Georgia,87,342,772,1511,72,1583,1289,577,1036,1104,1104,1036,1,6,288,462,1294,0,89,2140,6,1,288,462,1294,0,89,2140,GEORGIA,Bacon County,1300150,Bacon County,13005,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,144.1,144.1,14.85,14.85,287.5,42.6,4.5,2,2,0,4,3,1,6,3.8,8,12.1,10.6,47.8,2140,2140,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1301,11500300100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
604,BAKER COUNTY,Georgia,miss,55,156,284,0,284,165,78,141,145,145,141,1,0,30,183,58,0,14,286,0,1,30,183,58,0,14,286,GEORGIA,Baker County,1300180,Baker County,13007,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,24.1,24,11.87,11.92,68.1,12,0.5,0,1,0,1,1,1,3.7,3,1,1.3,1.7,17.8,286,286,1-Metropolitan Area,42-Rural: Distant,13,10500,NA,    ,1302,11500400100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
605,BALDWIN COUNTY,Georgia,33,553,2184,3484,372,3856,3339,1180,2576,2643,2643,2576,3,68,122,3474,1334,5,213,5219,68,3,122,3474,1334,5,213,5219,GEORGIA,Baldwin County,1300210,Baldwin County,13009,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,332.9,307.9,15.68,16.95,688.1,86.7,6,4,7,0,11,6,6,9,4,17.5,31,16,162,5219,5219,2-Micropolitan Area,32-Town: Distant,13,33300,NA,    ,1310,11500500100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
606,BANKS COUNTY,Georgia,73,427,942,1485,196,1681,1692,885,1344,1448,1448,1344,2,19,239,52,2403,0,77,2792,19,2,239,52,2403,0,77,2792,GEORGIA,Banks County,1300240,Banks County,13011,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,202.1,202.1,13.81,13.81,426.6,48,0.3,2,3,0,5,4,6.5,8,5.6,8.8,14.9,14.4,109,2792,2792,0-New England (NECTA) or not reported,42-Rural: Distant,13,NA,NA,    ,1309,11500600100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
607,BARROW COUNTY,Georgia,1048,1936,3796,6701,1314,8015,8492,3823,6730,7072,7072,6730,31,656,2548,1774,8061,6,726,13802,656,31,2548,1774,8061,6,726,13802,GEORGIA,Barrow County,1300290,Barrow County,13013,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,943.3,913.9,14.63,15.1,1652.5,194,15,10,13.5,0,23.5,15,14,13.1,13.5,50.8,68.6,40.4,261.3,13802,13802,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1310,11500700100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
608,BARTOW COUNTY,Georgia,563,1633,3081,6288,1287,7575,8093,4057,6543,6993,6993,6543,27,113,1759,1268,9784,7,578,13536,113,27,1759,1268,9784,7,578,13536,GEORGIA,Bartow County,1300330,Bartow County,13015,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,900.8,881.1,15.03,15.36,1737.8,158.5,19.3,12,16,0,28,19,0,8.3,11,47,72,67.4,406.5,13536,13536,1-Metropolitan Area,41-Rural: Fringe,13,12060,122,    ,1311,11500800100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
609,BEN HILL COUNTY,Georgia,91,420,1441,3127,0,3127,1941,829,1540,1635,1635,1540,5,21,385,1347,1333,0,84,3175,21,5,385,1347,1333,0,84,3175,GEORGIA,Ben Hill County,1300360,Ben Hill County,13017,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,212,202.1,14.98,15.71,432.8,77,11,2,3,0,5,3.7,2,4.7,6,10,12,12.5,76.9,3175,3175,2-Micropolitan Area,33-Town: Remote,13,22340,NA,    ,1308,11500900100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
610,BERRIEN COUNTY,Georgia,52,359,1349,2630,0,2630,1945,860,1543,1607,1607,1543,7,12,236,395,2382,0,118,3150,12,7,236,395,2382,0,118,3150,GEORGIA,Berrien County,1300390,Berrien County,13019,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,205.7,203.9,15.31,15.45,431.1,69.1,5,2.5,3.5,0,6,4,3,10.5,5.4,9,13.8,18.3,81.3,3150,3150,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1308,11501000100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,2-All associated schools are charter and noncharter
611,BIBB COUNTY,Georgia,460,2343,11476,23900,0,23900,14909,6373,11757,12353,12353,11757,25,431,1165,17480,4417,18,574,24110,431,25,1165,17480,4417,18,574,24110,GEORGIA,Bibb County,1300420,Bibb County,13021,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,1616,1558,14.92,15.47,3530.4,385,93.7,22,28,0,50,35,32,42.5,84,96,120,147,829.2,24110,24110,1-Metropolitan Area,12-City: Mid-size,13,31420,356,    ,1302,11501100100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,2-All associated schools are charter and noncharter
612,BLECKLEY COUNTY,Georgia,4,377,795,1700,133,1833,1499,711,1264,1286,1286,1264,2,19,69,658,1723,1,78,2550,19,2,69,658,1723,1,78,2550,GEORGIA,Bleckley County,1300440,Bleckley County,13023,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,171.9,163.9,14.83,15.56,359.8,44.3,2.5,2,2.5,0,4.5,4,0,6.2,4.5,10.3,14.3,18.5,78.8,2550,2550,0-New England (NECTA) or not reported,41-Rural: Fringe,13,NA,NA,    ,1308,11501200100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
613,BRANTLEY COUNTY,Georgia,17,391,1964,2834,0,2834,2029,971,1647,1785,1785,1647,4,12,90,108,3152,0,66,3432,12,4,90,108,3152,0,66,3432,GEORGIA,Brantley County,1300480,Brantley County,13025,Prekindergarten,12th Grade,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,239,239.1,14.36,14.35,520,72.5,4.7,3.5,3.5,0,7,5.6,1,6.4,5,14.5,19,14,131.3,3432,3432,1-Metropolitan Area,42-Rural: Distant,13,15260,NA,    ,1301,11501300100000,Not a charter district miss State has charter LEAs but this LEA is not a charter LEA,3-All associated schools are noncharter
