Agency ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2017-18,"Total Students, All Grades (Excludes AE) [Public School] 2017-18",Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19
1301500,8TH GRADE CAMPUS,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130150000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301560,A. S. CLARK ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130156000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1303510,A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,13-City: Small,495,185,57,18,203,400,NA,130351000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,A.L. Burruss Elementary School,Cobb County,13067,30064,Marietta,21,480,2,177,182,89,6,3
1303870,AARON COHN MIDDLE SCHOOL,Georgia,12-City: Mid-size,567,193,130,41,234,567,NA,130387000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Aaron Cohn Middle School,Muscogee County,13215,31820,Midland,35,660,1,246,304,54,19,1
1300026,AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,41-Rural: Fringe,32,.,3,.,3,8,24,130003000000,5-Title I schoolwide school,No,10th Grade,7th Grade,Aaron Cohn Regional Youth Detention Center,Muscogee County,13215,31820,Midland,0,16,0,0,15,1,0,0
1302280,ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,632,54,24,16,70,556,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Abbotts Hill Elementary School,Fulton County,13121,30097,Duluth,40,616,0,236,82,64,194,0
1300420,ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,12-City: Mid-size,1541,1527,196,0,1527,1127,274,130042000000,6-Not a Title I school,Yes under Community Eligibility Option (CEO),12th Grade,Kindergarten,Academy For Classical Education,Bibb County,13021,31210,Macon,41,1708,1,1211,265,55,133,2
1304380,ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,12-City: Mid-size,1318,1270,564,0,1270,NA,1318,130438000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Academy of Richmond County High School,Richmond County,13245,30904,Augusta,43,1175,9,189,869,56,6,3
1301290,ACWORTH INTERMEDIATE SCHOOL,Georgia,21-Suburb: Large,681,362,145,68,430,681,NA,130129000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,2nd Grade,Acworth Intermediate School,Cobb County,13067,30101,Acworth,40,664,0,203,244,159,16,2
1300330,ADAIRSVILLE ELEMENTARY SCHOOL,Georgia,32-Town: Distant,676,292,150,66,358,534,NA,130033000000,5-Title I schoolwide school,Yes under Provision 2,5th Grade,Prekindergarten,Adairsville Elementary School,Bartow County,13015,30103,Adairsville,48,712,0,554,66,39,3,2
1300330,ADAIRSVILLE HIGH SCHOOL,Georgia,41-Rural: Fringe,994,328,158,93,421,NA,994,130033000000,6-Not a Title I school,Yes under Provision 2,12th Grade,9th Grade,Adairsville High School,Bartow County,13015,30103,Adairsville,32,977,0,801,66,71,6,1
1300330,ADAIRSVILLE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,761,323,159,68,391,761,NA,130033000000,5-Title I schoolwide school,Yes under Provision 2,8th Grade,6th Grade,Adairsville Middle School,Bartow County,13015,30103,Adairsville,30,786,0,659,30,63,3,1
1301230,ADAMSON MIDDLE SCHOOL,Georgia,21-Suburb: Large,593,590,260,0,590,593,NA,130123000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Adamson Middle School,Clayton County,13063,30273,Rex,14,568,0,14,412,115,10,3
1300120,ADAMSVILLE PRIMARY SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130012000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301290,ADDISON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,631,166,69,38,204,514,NA,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Addison Elementary School,Cobb County,13067,30066,Marietta,23,597,0,326,97,105,42,4
1302040,ADRIAN SCHOOL OF PERFORMING ARTS,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130204000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301830,ALBANY HIGH SCHOOL,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130183000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301830,ALBANY MIDDLE SCHOOL,Georgia,13-City: Small,988,589,589,0,589,988,NA,130183000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Albany Middle School,Dougherty County,13095,31705,Albany,13,982,0,31,919,15,0,4
1300026,ALBANY REGIONAL YOUTH DETENTION CENTER,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130003000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302550,ALCOVA ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,1364,707,335,151,858,1111,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alcova Elementary School,Gwinnett County,13135,30019,Dacula,58,1426,3,207,733,350,74,1
1303930,ALCOVY HIGH SCHOOL,Georgia,41-Rural: Fringe,1962,1053,623,206,1259,NA,1962,130393000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alcovy High School,Newton County,13217,30014,Covington,77,1934,0,610,1095,139,11,2
1301860,ALEXANDER HIGH SCHOOL,Georgia,21-Suburb: Large,1891,606,325,112,718,NA,1891,130186000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alexander High School,Douglas County,13097,30135,Douglasville,89,1828,1,1020,510,185,22,1
1300420,ALEXANDER II MAGNET SCHOOL,Georgia,12-City: Mid-size,509,505,173,0,505,415,NA,130042000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alexander II Magnet School,Bibb County,13021,31201,Macon,22,494,0,61,381,17,12,1
1302550,ALFORD ELEMENTARY,Georgia,21-Suburb: Large,931,665,343,106,771,764,NA,130255000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alford Elementary,Gwinnett County,13135,30044,Lawrenceville,29,935,1,91,230,492,92,0
1301830,ALICE COACHMAN ELEMENTARY SCHOOL,Georgia,13-City: Small,499,347,337,0,347,421,NA,130183000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alice Coachman Elementary School,Dougherty County,13095,31707,Albany,3,506,0,19,478,6,0,0
1300330,ALLATOONA ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,425,305,103,36,341,345,NA,130033000000,5-Title I schoolwide school,Yes under Provision 2,5th Grade,Prekindergarten,Allatoona Elementary School,Bartow County,13015,30102,Acworth,23,438,0,246,23,145,0,1
1301290,ALLATOONA HIGH SCHOOL,Georgia,21-Suburb: Large,1734,209,79,94,303,NA,1734,130129000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Allatoona High School,Cobb County,13067,30101,Acworth,63,1731,3,1095,336,174,57,3
1303870,ALLEN ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,432,408,206,0,408,361,NA,130387000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,Allen Elementary School,Muscogee County,13215,31904,Columbus,25,458,2,176,125,115,14,1
1301740,ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,555,477,302,21,498,416,NA,130174000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,DeKalb County,13089,30083,Stone Mountain,9,587,0,5,472,34,64,3
1304020,ALLGOOD ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,914,440,208,103,543,741,NA,130402000000,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Allgood Elementary School,Paulding County,13223,30157,Dallas,57,902,1,432,306,96,10,0
1302220,ALLIANCE ACADEMY FOR INNOVATION,GEORGIA,NA,NA,NA,NA,NA,NA,NA,NA,130222000000,NA,NA,10th Grade,9th Grade,Alliance Academy for Innovation,Forsyth County,13117,30040,Cumming,15,496,0,240,19,59,163,0
1304410,ALPHA ACADEMY,GEORGIA,21-Suburb: Large,53,34,15,3,37,14,39,130441000000,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302280,ALPHARETTA ELEMENTARY SCHOOL,Georgia,13-City: Small,550,81,37,15,96,428,NA,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Alpharetta Elementary School,Fulton County,13121,30009,Alpharetta,21,567,1,344,61,60,80,0
1302280,ALPHARETTA HIGH SCHOOL,Georgia,13-City: Small,2233,226,88,58,284,NA,2233,130228000000,6-Not a Title I school,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Alpharetta High School,Fulton County,13121,30005,Alpharetta,80,2268,2,965,428,279,509,5
1300008,ALPINE GNETS PROGRAM,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,130001000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1301170,ALPS ROAD ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,425,391,260,0,391,302,NA,130117000000,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Alps Road Elementary School,Clarke County,13059,30606,Athens,21,398,0,31,308,35,2,1
