School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
8TH GRADE CAMPUS,Georgia,NA,NA,NA,NA,21-Suburb: Large,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,NA,NA,NA,NA,.,1.3015E+11,NA,NA,NA,NA,6-Not a Title I school,NA,NA,NA,NA,Yes participating without using any Provision or the CEO,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,0,NA,.,NA,.,NA,.,NA,.,NA,.,NA,.,1301500
A. S. CLARK ELEMENTARY SCHOOL,Georgia,NA,NA,NA,NA,32-Town: Distant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30156E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1301560
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,480,495,497,451,490,169,185,227,200,227,67,57,138,27,18,15,12,17,196,203,242,212,244,399,400,388,357,409,NA,NA,NA,NA,NA,1.30351E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Kindergarten,A.L. Burruss Elementary School,Cobb County,13067,30064,Marietta,21,20,480,490,2,0,177,190,182,196,89,71,6,11,3,2,1303510
AARON COHN MIDDLE SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,41-Rural: Fringe,660,567,559,521,546,222,193,192,159,169,131,130,117,83,41,50,50,52,305,234,242,209,221,650,567,559,521,546,NA,NA,NA,NA,NA,1.30387E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Aaron Cohn Middle School,Muscogee County,13215,31820,Midland,35,30,660,546,1,0,246,245,304,218,54,40,19,12,1,1,1303870
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,16,32,3,15,9,.,.,NA,.,6,3,3,NA,.,.,NA,.,0,3,3,NA,.,6,-8,8,1,5,5,8,24,2,10,4,1.30003E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,2-Title I targeted assistance school,No,No,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,10th Grade,7th Grade,Aaron Cohn Regional Youth Detention Center,Muscogee County,13215,31820,Midland,0,0,16,9,0,0,0,0,15,9,1,0,0,0,0,0,1300026
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,616,632,702,700,723,53,54,63,65,68,12,24,29,16,16,7,17,12,69,70,70,82,80,519,556,599,581,618,NA,NA,NA,NA,NA,1.30228E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Abbotts Hill Elementary School,Fulton County,13121,30097,Duluth,40,30,616,723,0,0,236,324,82,88,64,60,194,220,0,1,1302280
ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,1708,1541,1394,1130,759,1693,1527,1382,1120,748,112,196,253,0,0,0,0,0,1693,1527,1382,1120,748,1164,1127,1096,935,680,404,274,158,75,NA,1.30042E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,Kindergarten,Academy For Classical Education,Bibb County,13021,31210,Macon,41,14,1708,759,1,2,1211,544,265,124,55,19,133,52,2,4,1300420
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,1175,1318,1317,1339,1306,1132,1270,1274,1296,1264,337,564,415,0,0,0,0,0,1132,1270,1274,1296,1264,NA,NA,NA,NA,NA,1175,1318,1317,1339,1306,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Academy of Richmond County High School,Richmond County,13245,30904,Augusta,43,32,1175,1306,9,40,189,158,869,1024,56,36,6,12,3,4,1304380
ACWORTH INTERMEDIATE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,664,681,716,697,744,346,362,397,374,419,153,145,204,69,68,80,84,79,415,430,477,458,498,656,681,716,697,744,NA,NA,NA,NA,NA,1.30129E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,2nd Grade,Acworth Intermediate School,Cobb County,13067,30101,Acworth,40,33,664,744,0,2,203,256,244,284,159,144,16,23,2,2,1301290
ADAIRSVILLE ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,712,676,706,694,700,296,292,314,301,324,177,150,194,67,66,75,80,70,363,358,389,381,394,554,534,558,543,553,NA,NA,NA,NA,NA,1.30033E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Adairsville Elementary School,Bartow County,13015,30103,Adairsville,48,35,712,700,0,0,554,568,66,58,39,36,3,1,2,2,1300330
