,SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
24087,2017-2018,13,GEORGIA,GA,Gardner-Newman Middle School,Troup County,1,,GA-741,1300001,GA-741-0191,130000000000.0,1300593,101 S Shannon Dr,,,Lagrange,GA,30241,,101 S Shannon Dr,,,Lagrange,GA,30241,,(706)883-1535,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24088,2017-2018,13,GEORGIA,GA,Hollis Hand Elementary School,Troup County,1,,GA-741,1300001,GA-741-0194,130000000000.0,1300596,641 Country Club Rd,,,Lagrange,GA,30240,,641 Country Club Rd,,,Lagrange,GA,30240,,(706)883-1580,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24089,2017-2018,13,GEORGIA,GA,LaGrange High School,Troup County,1,,GA-741,1300001,GA-741-1052,130000000000.0,1300608,516 N Greenwood St,,,Lagrange,GA,30240,,516 N Greenwood St,,,Lagrange,GA,30240,,(706)883-1590,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,9,12,High,As reported
24090,2017-2018,13,GEORGIA,GA,Berta Weathersbee Elementary School,Troup County,1,,GA-741,1300001,GA-741-5052,130000000000.0,1300643,1200 Forrest Ave,,,Lagrange,GA,30240,,1200 Forrest Ave,,,Lagrange,GA,30240,,(706)883-1570,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24091,2017-2018,13,GEORGIA,GA,Hillcrest Elementary School,Troup County,1,,GA-741,1300001,GA-741-3050,130000000000.0,1301706,3116 Robert Hayes Rd,,,Lagrange,GA,30240,,3116 Robert Hayes Rd,,,Lagrange,GA,30240,,(706)812-7940,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24092,2017-2018,13,GEORGIA,GA,Rosemont Elementary School,Troup County,1,,GA-741,1300001,GA-741-5050,130000000000.0,1301710,4679 Hamilton Rd,,,Lagrange,GA,30241,,4679 Hamilton Rd,,,Lagrange,GA,30241,,(706)812-7954,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24093,2017-2018,13,GEORGIA,GA,Long Cane Middle School,Troup County,1,,GA-741,1300001,GA-741-0297,130000000000.0,1301852,326 Long Cane Rd,,,Lagrange,GA,30240,,326 Long Cane Rd,,,Lagrange,GA,30240,,(706)845-2085,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,6,8,Middle,As reported
24094,2017-2018,13,GEORGIA,GA,Hogansville Elementary School,Troup County,1,,GA-741,1300001,GA-741-0397,130000000000.0,1301853,611 E Main St,,,Hogansville,GA,30230,,611 E Main St,,,Hogansville,GA,30230,,(706)812-7990,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24095,2017-2018,13,GEORGIA,GA,Whitesville Road Elementary School,Troup County,1,,GA-741,1300001,GA-741-0497,130000000000.0,1301855,1700 Whitesville Rd,,,Lagrange,GA,30240,,1700 Whitesville Rd,,,Lagrange,GA,30240,,(706)812-7968,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
24096,2017-2018,13,GEORGIA,GA,Ethel W. Kight Elementary School,Troup County,1,,GA-741,1300001,GA-741-0597,130000000000.0,1301856,75 Gordon Rd,,,Lagrange,GA,30240,,75 Gordon Rd,,,Lagrange,GA,30240,,(706)812-7943,,1,Open,1,Open,3/14/2018,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,5,Elementary,As reported
