LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Male,122,51
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Female,117,49
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Total,239,100
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Black,48,20.1
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,White,166,69.5
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Hispanic,19,7.9
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Asian,2,0.8
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Multi,4,1.7
2014-15,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2014-15,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2014-15,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2014-15,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Male,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Female,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Total,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Black,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,White,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Asian,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Multi,,
2014-15,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Male,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Female,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Total,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Black,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,White,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2014-15,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Male,122,51
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Female,117,49
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Total,239,100
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Black,48,20.1
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,White,166,69.5
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Hispanic,19,7.9
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Asian,2,0.8
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Multi,4,1.7
2014-15,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2014-15,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2014-15,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2014-15,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2014-15,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2014-15,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Male,38,45.8
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Female,45,54.2
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Total,83,100
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Black,22,26.5
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,White,34,41
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Hispanic,27,32.5
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Asian,0,0
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Multi,0,0
2014-15,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2014-15,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2014-15,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2014-15,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Male,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Female,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Total,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Black,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,White,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Asian,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Multi,,
2014-15,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Male,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Female,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Total,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Black,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,White,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2014-15,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Male,38,45.8
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Female,45,54.2
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Total,83,100
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Black,22,26.5
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,White,34,41
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Hispanic,27,32.5
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Asian,0,0
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Multi,0,0
2014-15,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,0,0
2014-15,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
