,SCH_NAME,LEAID
24087,Gardner-Newman Middle School,1300001
24088,Hollis Hand Elementary School,1300001
24089,LaGrange High School,1300001
24090,Berta Weathersbee Elementary School,1300001
24091,Hillcrest Elementary School,1300001
24092,Rosemont Elementary School,1300001
24093,Long Cane Middle School,1300001
24094,Hogansville Elementary School,1300001
24095,Whitesville Road Elementary School,1300001
24096,Ethel W. Kight Elementary School,1300001
24097,West Point Elementary School,1300001
24098,Troup County High School,1300001
24099,Long Cane Elementary School,1300001
24100,Callaway Middle School,1300001
24101,Callaway High School,1300001
24102,Franklin Forest Elementary,1300001
24103,Bradfield Center - Ault Academy,1300001
24104,Callaway Elementary School,1300001
24105,Statesboro STEAM Academy,1300005
24106,Odyssey Charter School,1300023
24107,Department of Corrections,1300025
24108,Crisp RYDC,1300026
24109,Augusta Youth Development Campus,1300026
24110,Macon Youth Development Campus,1300026
24111,Eastman Youth Development Campus,1300026
24112,Albany Regional Youth Detention Center,1300026
24113,Augusta Regional Youth Detention Center,1300026
24114,Martha K. Glaze Regional Youth Detention Center,1300026
24115,Claxton Regional Youth Detention Center,1300026
24116,Elbert Shaw Regional Youth Detention Center,1300026
24117,DeKalb Regional Youth Detention Center,1300026
24118,Eastman Regional Youth Detention Center,1300026
24119,Gainesville Regional Youth Detention Center,1300026
24120,Macon Regional Youth Detention Center,1300026
24121,Marietta Regional Youth Detention Center,1300026
24122,Bob Richards Regional Youth Detention Center,1300026
24123,Sandersville Regional Youth Detention Center,1300026
24124,Savannah Regional Youth Detention Center,1300026
24125,T J Loftiss II Regional Youth Detention Center,1300026
24126,Waycross Regional Youth Detention Center,1300026
24127,Metro Regional Youth Detention Center,1300026
24128,Sumter Youth Development Campus,1300026
24129,Muscogee Youth Development Center,1300026
24130,Aaron Cohn Regional Youth Detention Center,1300026
24131,Atlanta Youth Detention Center,1300026
24132,Rockdale RYDC,1300026
24133,Millegeville ITU,1300026
24134,Terrell Regional Youth Detention Center,1300026
24135,Department of Human Resources,1300027
24136,Appling County Primary School,1300060
24137,Appling County Elementary School,1300060
24138,Fourth District Elementary School,1300060
24139,Appling County Middle School,1300060
24140,Appling County High School,1300060
24141,Altamaha Elementary School,1300060
24142,Pearson Elementary School,1300090
